Date,From,Subject,Year,Month
2025-12-08 13:57:38+00:00,Internship Studio <contact@internshipstudio.com>,Successful Registration for Data Science Internship,2025,12
2026-01-15 04:48:03+00:00,Jia from Unstop <noreply@dare2compete.news>,=?utf-8?q?=5BExclusive=5D_Microsoft_is_hiring_for_the_role_of_Research_Science_Intern!?=,2026,1
2025-12-27 10:35:01+00:00,Team Unstop <noreply@unstop.news>,=?utf-8?q?Compete_=26_Win_Internship_Opportunity_with_Asian_Paints?=,2025,12
2025-12-07 03:17:17+00:00,"""Beth @ Agent.ai"" <support@agent.ai>",The best way to keep your creative momentum,2025,12
2026-01-04 06:26:55+00:00,Forms Response Receipts <forms-receipts-noreply@google.com>,Thanks for filling out this form: Registration Form,2026,1
2025-12-06 07:00:49+00:00,=?UTF-8?B?aVN0dWRpbw==?= <contact@alert.internshipstudio.com>,=?UTF-8?B?RXhhbSBzeXN0ZW0gcmVhZHkgZm9yIHlvdXIgbG9naW4=?=,2025,12
2025-12-22 15:53:08+00:00,Aryan from Unstop <noreply@dare2compete.news>,=?utf-8?q?IIT_Hyderabad=2C_IIT_Madras_=26_XLRI_are_hosting_events_on_Unstop?=,2025,12
2025-12-17 09:29:34+00:00,NPTEL <onlinecourses@nptel.iitm.ac.in>,"NPTEL Newsletter: Empowering Students with the Fundamentals of
 Electric Mobility from IIT Madras",2025,12
2025-12-22 09:34:03+00:00,NPTEL <onlinecourses@nptel.iitm.ac.in>,NPTEL Newsletter: Dec 2025: Vol 6: Week 3!,2025,12
2025-12-03 16:32:59+00:00,Codecademy <learn@itr.mail.codecademy.com>,=?UTF-8?q?=E2=8F=B3_FINAL_HOURS:_Save_60%?=,2025,12
2025-12-11 17:42:09+00:00,"""WordPress.com"" <hello@wordpress.com>",=?UTF-8?B?V29yZFByZXNzLmNvbSBmb3Ig4oK5MTI4L21vbnRo?=,2025,12
2025-12-08 12:21:17+00:00,=?UTF-8?B?aVN0dWRpbw==?= <contact@alert.internshipstudio.com>,Reminder: choose your batch start Date,2025,12
2026-01-04 04:16:22+00:00,Kartikay from ISP Team <isp@internshala.com>,"=?UTF-8?Q?Woohoo=20Akshaya,=20you're=20now=20an=20ISP!=20Complete=20your?= =?UTF-8?Q?=20joining=20formalities=20:)?=",2026,1
2025-12-15 13:30:44+00:00,SKILL INTERN | INSPIRE AI <noreply@nrichlearning.com>,=?UTF-8?Q?=F0=9F=97=93_Class_Scheduled_Alert!_?=,2025,12
2025-12-15 13:15:54+00:00,SKILL INTERN | INSPIRE AI <noreply@nrichlearning.com>,=?UTF-8?Q?=F0=9F=97=93_Class_Scheduled_Alert!_?=,2025,12
2025-12-18 17:20:42+00:00,Team Unstop <noreply@dare2compete.news>,=?utf-8?q?Akshaya=2C_your_hero_bike_awaits=2E?=,2025,12
2026-01-06 19:58:01+00:00,Google Play <googleplay-noreply@google.com>,Updates to how privacy settings work on Play,2026,1
2025-12-17 15:33:25+00:00,Team Unstop <noreply@dare2compete.news>,=?utf-8?q?Akshaya=2C=C2=A0something_amazing_is_awaiting_you_inside!?=,2025,12
2026-01-07 05:42:17+00:00,Google Pay <googlepay-noreply@google.com>,"=?UTF-8?Q?_Annual_reminder_about_Google_Pay=E2=80=99s_Terms_of_Servi?=
	=?UTF-8?Q?ce=2C_Consumer_Policy_and_Privacy_Policy?=",2026,1
2026-01-13 21:53:38+00:00,Kaggle <no-reply@kaggle.com>,Hackathon Launch: The MedGemma Impact Challenge ,2026,1
2025-12-01 13:30:54+00:00,SKILL INTERN | INSPIRE AI <noreply@nrichlearning.com>,=?UTF-8?Q?=F0=9F=97=93_Class_Scheduled_Alert!_?=,2025,12
2025-12-11 15:05:19+00:00,Codecademy <learn@itr.mail.codecademy.com>,Limited-time offer: Save 20% on annual plans,2025,12
2025-12-20 05:53:11+00:00,dheetsha@corizo.work,"Final Notice: Invitation For IBM Internship and Placement Mentorship
 Program for - Government College of engineering Tirunelveli",2025,12
2026-01-15 15:05:15+00:00,Internshala <student@internshala.com>,=?UTF-8?Q?Your=20profile=20is=20a=20perfect=20match=20for=20these=20'Dat?= =?UTF-8?Q?a=20Science'=20internships?=,2026,1
2026-01-16 15:04:38+00:00,Internshala <student@internshala.com>,=?UTF-8?Q?Top=20internships=20of=20the=20week=20matching=20your=20profil?= =?UTF-8?Q?e?=,2026,1
2025-12-08 14:04:41+00:00,=?UTF-8?B?aVN0dWRpbw==?= <contact@alert.internshipstudio.com>,Update: Final Batch Allocation Notice,2025,12
2025-11-23 08:03:23+00:00,"""Simplilearn"" <updates@simplilearnmailer.com>","ChatGPT, Copilot & CodeWhisperer Skills + Microsoft Certification | AI-Powered Full Stack Developer Program",2025,11
2026-01-17 13:09:02+00:00,Jia from Unstop <noreply@unstop.news>,=?utf-8?q?Microsoft_is_hiring_interns_-_Your_profile_is_a_match!?=,2026,1
2026-01-02 13:46:05+00:00,Jia from Unstop <noreply@unstop.news>,=?utf-8?q?EY_Internship_Alert_-_Earn_a_stipend_of_INR_25=2C000!?=,2026,1
2026-01-06 19:03:08+00:00,Codecademy <learn@itr.mail.codecademy.com>,=?UTF-8?q?Sale_extended_=E2=80=94_50%_off_Pro?=,2026,1
2025-12-30 07:15:58+00:00,Team Unstop <noreply@dare2compete.news>,=?utf-8?q?Don=E2=80=99t_Just_Browse_-_Apply_for_Alchemy_2025?=,2025,12
2026-01-12 13:16:55+00:00,Jia from Unstop <noreply@unstop.news>,=?utf-8?q?Stripe_is_hiring_interns_-_Your_profile_is_a_match!?=,2026,1
2025-12-03 06:03:22+00:00,"""Purdue University Online"" <updates@simplilearnmailer.com>","=?utf-8?B?R2V0IEdlbkFJLVJlYWR5IGZvciBIaWdoLUdyb3d0aCBDYXJlZXJz?=
	=?utf-8?B?IHwgV29yayB3aXRoIENoYXRHUFQsIERBTEzCt0UgMiAmIE1vcmUgfCBBcHBs?=
	=?utf-8?B?aWVkIEdlbmVyYXRpdmUgQUkgYnkgUHVyZHVlIA==?=",2025,12
2025-11-30 00:30:29+00:00,=?UTF-8?B?TGlua2VkSW4gUHJlbWl1bQ==?= <linkedin@e.linkedin.com>,"Valued Member, thanks for checking us out",2025,11
2026-01-05 16:49:34+00:00,Codecademy <learn@itr.mail.codecademy.com>,=?UTF-8?q?Last_chance:_New_Year=E2=80=99s_sale?=,2026,1
2025-12-04 13:30:43+00:00,SKILL INTERN | INSPIRE AI <noreply@nrichlearning.com>,=?UTF-8?Q?=F0=9F=97=93_Class_Scheduled_Alert!_?=,2025,12
2025-12-23 04:45:46+00:00,Jia from Unstop <noreply@dare2compete.news>,=?utf-8?q?Google_is_hiring_-_Earn_a_stipend_of_=E2=82=B91=2C00=2C000!?=,2025,12
2026-01-14 15:11:23+00:00,Eric <eric@jobright.com>,Data Science Intern Position at Bunge Posted 2 hours ago,2026,1
2025-11-21 18:40:49+00:00,LeetCode <no-reply@leetcode.com>,=?utf-8?q?=E2=8F=B3LIMITED_TIME_OFFER_-_=2440_off_Annual_Subscription?=,2025,11
2025-12-11 22:36:05+00:00,LeetCode <no-reply@leetcode.com>,LeetCode Weekly Digest,2025,12
2026-01-11 18:17:19+00:00,Tanu from Unstop <noreply@unstop.news>,=?utf-8?q?=5BFREE=5D=C2=A0Akshaya=2C_get_Cisco_certifications_and_boost_your_resume?=,2026,1
2025-12-03 03:02:29+00:00,support@hackerearth.com,"004, solve your first problem on HackerEarth.",2025,12
2025-11-12 10:17:20+00:00,OPERATIONS SKILL INTERN <operation@skillintern.in>,=?UTF-8?Q?=F0=9F=93=A2_Class_Alert=3A_FSWD_Class_at_7=3A15_PM?=,2025,11
2025-11-20 09:50:54+00:00,"""Simplilearn Webinars "" <updates@simplilearnmailer.com>","Akshaya, Go Beyond Theory with a GenAI Practitioner",2025,11
2026-01-08 14:46:38+00:00,Codecademy <learn@itr.mail.codecademy.com>,=?UTF-8?q?January_newsletter:_Happy_New_Year_=F0=9F=A5=B3?=,2026,1
2025-12-28 13:35:30+00:00,Jia from Unstop <noreply@dare2compete.news>,=?utf-8?q?=5BCongrats=5D_Google_wants_you=2C_Akshaya=C2=A0-_Your_profile_is_a_match!?=,2025,12
2025-12-24 04:51:04+00:00,Jia from Unstop <noreply@dare2compete.news>,=?utf-8?q?Hero_Campus_Challenge_Season_10_is_live!?=,2025,12
2025-11-15 23:17:45+00:00,YouTube <no-reply@youtube.com>,"=?UTF-8?Q?Annual_reminder_about_YouTube=E2=80=99s_Terms_of_Service=2C_?=
	=?UTF-8?Q?Community_Guidelines_and_Privacy_Policy=0D=0A?=",2025,11
2026-01-05 04:34:08+00:00,Vinay from ISP Team <webinar.host@bigmarker.com>,"Akshaya, you've registered for ISP Program - Orientation & FTC
 Webinar!",2026,1
2025-12-26 17:25:42+00:00,Codecademy <learn@itr.mail.codecademy.com>,Don't miss our end-of-year sale,2025,12
2025-12-29 08:40:31+00:00,Team Unstop <noreply@unstop.news>,=?utf-8?q?Keep_Leading=2C_Keep_Winning_-_Join_Alchemy_2025?=,2025,12
2026-01-10 14:47:37+00:00,Internshala <student@internshala.com>,=?UTF-8?Q?Lenn=20Chartered=20&=20Co=20is=20promoting=20Artificial=20Inte?= =?UTF-8?Q?lligence=20(AI)=20internship!?=,2026,1
2025-11-06 14:12:23+00:00,"""Simplilearn"" <updates@simplilearnmailer.com>",=?utf-8?B?TmV3IENvdXJzZSwgTmV3IFlvdSDwn5GH?=,2025,11
2025-12-02 12:06:24+00:00,"""HackerEarth"" <community_marketing@hackerearth.com>",You Won!,2025,12
2026-01-14 10:41:12+00:00,Team Unstop <noreply@unstop.news>,=?utf-8?q?Build_your_resume_with_L=E2=80=99Or=C3=A9al_Brandstorm_2026!?=,2026,1
2025-11-07 06:20:29+00:00,"""E&ICT, IIT Guwahati"" <updates@simplilearnmailer.com>","Become a Cloud & DevOps Pro - AWS, Azure, GCP, DevSecOps & More | IIT Guwahati Program ",2025,11
2025-12-01 18:21:50+00:00,LeetCode <no-reply@leetcode.com>,=?utf-8?q?=F0=9F=9A=A8_FINAL_HOURS_-_=2440_off_Annual_Subscription?=,2025,12
2025-11-17 09:20:56+00:00,hemanth@innoknowvex.in,Campus Ambassadors And Marketing intern Program Information ,2025,11
2025-11-12 06:07:19+00:00,"""Purdue University Online"" <updates@simplilearnmailer.com>","=?utf-8?B?R2FpbiBleHBvc3VyZSB0byBDaGF0R1BULCBPcGVuQUksIERBTEw=?=
	=?utf-8?B?wrdFLCBIdWdnaW5nIEZhY2UsIGFuZCBtb3JlIGluIFB1cmR1ZeKAmXMgQXBw?=
	=?utf-8?B?bGllZCBHZW4gQUkgU3BlY2lhbGl6YXRpb24=?=",2025,11
2025-11-17 21:32:24+00:00,Kaggle <no-reply@kaggle.com>,Competition Launch: Santa 2025 - Christmas Tree Packing Challenge,2025,11
2026-01-08 14:44:46+00:00,Team Unstop <noreply@unstop.news>,=?utf-8?q?L=E2=80=99Or=C3=A9al_Brandstorm_2026_=7C_MyFragranceCode?=,2026,1
2025-12-29 09:52:46+00:00,Unstop <noreply@emails.unstop.com>,Registration Cancelled for SAKSHAM CreditWise Challenge!,2025,12
2025-11-17 10:29:22+00:00,"""Simplilearn Webinars "" <updates@simplilearnmailer.com>","Akshaya, Why Your AI Skills Aren't Enough?",2025,11
2025-11-10 10:38:24+00:00,"""Simplilearn Webinars "" <updates@simplilearnmailer.com>",Just 24 Hours to Register.,2025,11
2025-11-05 13:30:58+00:00,SKILL INTERN | INSPIRE AI <noreply@nrichlearning.com>,=?UTF-8?Q?=F0=9F=97=93_Class_Scheduled_Alert!_?=,2025,11
2025-11-05 13:15:57+00:00,SKILL INTERN | INSPIRE AI <noreply@nrichlearning.com>,=?UTF-8?Q?=F0=9F=97=93_Class_Scheduled_Alert!_?=,2025,11
2025-11-25 12:15:45+00:00,SKILL INTERN | INSPIRE AI <noreply@nrichlearning.com>,=?UTF-8?Q?=F0=9F=97=93_Class_Scheduled_Alert!_?=,2025,11
2025-11-25 12:00:43+00:00,SKILL INTERN | INSPIRE AI <noreply@nrichlearning.com>,=?UTF-8?Q?=F0=9F=97=93_Class_Scheduled_Alert!_?=,2025,11
2025-11-07 11:06:29+00:00,"""Simplilearn Webinars "" <updates@simplilearnmailer.com>",Live Session With Dr. Arpit Yadav,2025,11
2025-11-03 06:17:22+00:00,"""E&ICT, IIT Guwahati"" <updates@simplilearnmailer.com>","Become a Cloud & DevOps Pro - AWS, Azure, GCP, DevSecOps & More | IIT Guwahati Program ",2025,11
2026-01-07 14:19:52+00:00,Jia from Unstop <noreply@unstop.news>,=?utf-8?q?Intern_with_Ankit_Aggrawal_-_CEO=2C_Unstop!?=,2026,1
2025-11-05 16:21:36+00:00,Codecademy <learn@itr.mail.codecademy.com>,November newsletter: New opportunities to grow,2025,11
2025-11-11 06:19:25+00:00,"""Simplilearn"" <updates@simplilearnmailer.com>","Full Stack Developer Program with GenAI - ChatGPT, Copilot & Microsoft Certification",2025,11
2025-11-11 07:33:28+00:00,"""Vanya Reddy"" <vanya@newsletters.analyticsvidhya.com>","Akshaya B S, accelerate your AI career with real-world projects",2025,11
2025-11-03 12:15:50+00:00,SKILL INTERN | INSPIRE AI <noreply@nrichlearning.com>,=?UTF-8?Q?=F0=9F=97=93_Class_Scheduled_Alert!_?=,2025,11
2025-11-03 12:01:00+00:00,SKILL INTERN | INSPIRE AI <noreply@nrichlearning.com>,=?UTF-8?Q?=F0=9F=97=93_Class_Scheduled_Alert!_?=,2025,11
2025-11-04 17:40:23+00:00,noreply@tnedu.in,"Your student account for B.E Computer Science and Engineering(A)
 course at Government College of Engineering, Tirunelveli",2025,11
2025-11-14 13:30:48+00:00,SKILL INTERN | INSPIRE AI <noreply@nrichlearning.com>,=?UTF-8?Q?=F0=9F=97=93_Class_Scheduled_Alert!_?=,2025,11
2025-11-14 13:15:45+00:00,SKILL INTERN | INSPIRE AI <noreply@nrichlearning.com>,=?UTF-8?Q?=F0=9F=97=93_Class_Scheduled_Alert!_?=,2025,11
2025-11-17 13:30:41+00:00,SKILL INTERN | INSPIRE AI <noreply@nrichlearning.com>,=?UTF-8?Q?=F0=9F=97=93_Class_Scheduled_Alert!_?=,2025,11
2025-11-17 13:15:45+00:00,SKILL INTERN | INSPIRE AI <noreply@nrichlearning.com>,=?UTF-8?Q?=F0=9F=97=93_Class_Scheduled_Alert!_?=,2025,11
2025-11-29 06:06:22+00:00,"""Purdue University Online"" <updates@simplilearnmailer.com>","=?utf-8?B?R2V0IEdlbkFJLVJlYWR5IGZvciBIaWdoLUdyb3d0aCBDYXJlZXJz?=
	=?utf-8?B?IHwgV29yayB3aXRoIENoYXRHUFQsIERBTEzCt0UgMiAmIE1vcmUgfCBBcHBs?=
	=?utf-8?B?aWVkIEdlbmVyYXRpdmUgQUkgYnkgUHVyZHVlIA==?=",2025,11
2025-11-11 13:48:30+00:00,Surekha Kanwar <surekha@corizo.work>,Hiring For Campus Coordinator/Marketing Intern,2025,11
2025-11-12 13:31:00+00:00,SKILL INTERN | INSPIRE AI <noreply@nrichlearning.com>,=?UTF-8?Q?=F0=9F=97=93_Class_Scheduled_Alert!_?=,2025,11
2025-11-12 13:15:56+00:00,SKILL INTERN | INSPIRE AI <noreply@nrichlearning.com>,=?UTF-8?Q?=F0=9F=97=93_Class_Scheduled_Alert!_?=,2025,11
2025-11-16 08:04:05+00:00,"""Simplilearn"" <updates@simplilearnmailer.com>","Job-Ready Full Stack: Generative AI, Portfolio Creation, & Microsoft Certification",2025,11
2025-11-06 12:45:17+00:00,22104025@srcas.ac.in,"=?UTF-8?Q?Dear_Akshaya_B_S_Call_for_IBM_Certified_Professional?=
	=?UTF-8?Q?_Training_=26_Internship_with_Placement_Mentorship_program_to_?=
	=?UTF-8?Q?Government_College_of_engineering_Tirunelveli_students=E2=80=93_Li?=
	=?UTF-8?Q?mited_Seats_Available=21?=",2025,11
2025-11-12 19:12:28+00:00,Kaggle <no-reply@kaggle.com>,Hackathon Launch: Google Tunix Hack - Train a Model to Show Its Work,2025,11
2026-01-12 10:47:32+00:00,FlutterFlow <noreply@flutterflow.io>,=?utf-8?Q?=F0=9F=8E=89=20Get=20Inspired=3A=20See=20How=20FlutterFlow=20Transforms=20Ideas=20Into=20Apps=21?=,2026,1
2025-12-07 03:02:10+00:00,support@hackerearth.com,"004, participate in your first contest on HackerEarth and win exciting prizes.",2025,12
2025-11-04 11:45:25+00:00,"""Simplilearn Webinars "" <updates@simplilearnmailer.com>","Akshaya, Ever Tried Building Your Own Chatbot?",2025,11
2025-11-10 17:04:42+00:00,Codecademy <learn@itr.mail.codecademy.com>,Live expert-led courses are waiting for you,2025,11
2025-11-07 13:32:47+00:00,GitHub <noreply@github.com>,[GitHub] Sudo email verification code,2025,11
2026-01-13 22:02:18+00:00,Jobright <support@jobright.ai>,Land More Interviews with a Tailored Resume (Tips Inside),2026,1
2025-12-02 09:02:24+00:00,support@hackerearth.com,"004, let's get you started with online coding.",2025,12
2025-11-11 13:30:56+00:00,SKILL INTERN | INSPIRE AI <noreply@nrichlearning.com>,=?UTF-8?Q?=F0=9F=97=93_Class_Scheduled_Alert!_?=,2025,11
2025-11-11 13:17:35+00:00,SKILL INTERN | INSPIRE AI <noreply@nrichlearning.com>,=?UTF-8?Q?=F0=9F=97=93_Class_Scheduled_Alert!_?=,2025,11
2025-11-09 08:02:21+00:00,"""Simplilearn"" <updates@simplilearnmailer.com>","Build, Code & Create with AI - Microsoft-Certified Full Stack Developer Program",2025,11
2025-11-13 08:06:27+00:00,"""Simplilearn"" <updates@simplilearnmailer.com>","Job-Ready Full Stack: Generative AI, Portfolio Creation, & Microsoft Certification",2025,11
2025-11-20 08:07:24+00:00,"""Simplilearn"" <updates@simplilearnmailer.com>","ChatGPT, Copilot & CodeWhisperer Skills + Microsoft Certification | AI-Powered Full Stack Developer Program",2025,11
2025-11-25 11:57:19+00:00,"""Simplilearn Webinars "" <updates@simplilearnmailer.com>",Automate Workflows in 60 Minutes,2025,11
2026-01-04 05:30:17+00:00,Kartikay from ISP Team <isp@internshala.com>,"=?UTF-8?Q?ISP=20Akshaya,=20let's=20kickstart=20your=20ISP=20Journey!?=",2026,1
2026-01-07 16:36:21+00:00,"""Pocket Option"" <noreply@pocketoption.com>",Your Trader's Box is going away,2026,1
2025-12-11 03:00:40+00:00,Codecademy <learn@itr.mail.codecademy.com>,December newsletter: See all you can accomplish in a year,2025,12
2025-11-04 06:10:24+00:00,"""Purdue University Online"" <updates@simplilearnmailer.com>","=?utf-8?B?R2FpbiBleHBvc3VyZSB0byBDaGF0R1BULCBPcGVuQUksIERBTEw=?=
	=?utf-8?B?wrdFLCBIdWdnaW5nIEZhY2UsIGFuZCBtb3JlIGluIFB1cmR1ZeKAmXMgQXBw?=
	=?utf-8?B?bGllZCBHZW4gQUkgU3BlY2lhbGl6YXRpb24=?=",2025,11
2025-10-28 14:16:26+00:00,"""Simplilearn"" <updates@simplilearnmailer.com>","=?utf-8?B?8J+SqiBLZWVwIHRoZSBNb21lbnR1bSBHb2luZyDigJMgWW91ciBO?=
	=?utf-8?B?ZXh0IFNraWxsdXAgQ291cnNlIGlzIFJlYWR5?=",2025,10
2026-01-02 05:04:54+00:00,Jia from Unstop <noreply@dare2compete.news>,=?utf-8?q?=5BExclusive=5D_Microsoft_is_hiring_-_Earn_a_stipend_of_=E2=82=B980=2C000!?=,2026,1
2025-10-22 11:51:25+00:00,"""Simplilearn Webinars "" <updates@simplilearnmailer.com>","=?utf-8?B?U2lkaGFydGhhIERhc2ggSXMgSGVyZSB0byBIZWxwIHwgSm9pbiB0?=
	=?utf-8?B?aGUgd2ViaW5hciBmb3Ig4oCcQUkgaW4gZGF0YeKAnSBpbnNpZ2h0cw==?=",2025,10
2025-10-21 16:23:17+00:00,Codecademy <learn@itr.mail.codecademy.com>,SALE EXTENDED: 50% off Pro,2025,10
2026-01-17 15:05:05+00:00,Internshala <student@internshala.com>,=?UTF-8?Q?NeuRazor=20is=20promoting=20Founders=20Office=20internship!?=,2026,1
2025-11-06 08:07:26+00:00,"""Simplilearn"" <updates@simplilearnmailer.com>",Future-Proof Your Career - AI-Powered Full Stack Developer Program | Microsoft Certified,2025,11
2025-10-23 08:08:20+00:00,"""Simplilearn"" <updates@simplilearnmailer.com>","Full Stack Developer Program with GenAI - ChatGPT, Copilot & Microsoft Certification",2025,10
2025-12-27 09:46:42+00:00,Vinay from Internshala <student@internshala.com>,"=?UTF-8?Q?=F0=9F=8E=81=20Reward=20inside:=20Akshaya,=20Silver=20key=20co?= =?UTF-8?Q?llected=20|=20Final=20key=20left!?=",2025,12
2025-11-04 13:30:43+00:00,SKILL INTERN | INSPIRE AI <noreply@nrichlearning.com>,=?UTF-8?Q?=F0=9F=97=93_Class_Scheduled_Alert!_?=,2025,11
2025-11-04 13:15:55+00:00,SKILL INTERN | INSPIRE AI <noreply@nrichlearning.com>,=?UTF-8?Q?=F0=9F=97=93_Class_Scheduled_Alert!_?=,2025,11
2026-01-05 14:34:24+00:00,Internshala <student@internshala.com>,=?UTF-8?Q?Aadhvik=20Technologies=20is=20hiring=20Data=20Science=20intern?= =?UTF-8?Q?=20|=20Apply=20Now?=,2026,1
2026-01-14 15:00:24+00:00,Kaggle <noreply@kaggle.com>,Introducing Community Benchmarks on Kaggle!,2026,1
2025-10-22 13:30:41+00:00,SKILL INTERN | INSPIRE AI <noreply@nrichlearning.com>,=?UTF-8?Q?=F0=9F=97=93_Class_Scheduled_Alert!_?=,2025,10
2025-10-24 13:30:46+00:00,SKILL INTERN | INSPIRE AI <noreply@nrichlearning.com>,=?UTF-8?Q?=F0=9F=97=93_Class_Scheduled_Alert!_?=,2025,10
2025-10-24 13:15:48+00:00,SKILL INTERN | INSPIRE AI <noreply@nrichlearning.com>,=?UTF-8?Q?=F0=9F=97=93_Class_Scheduled_Alert!_?=,2025,10
2025-12-24 17:16:36+00:00,"""Kuku Courses"" <news@kukucourses.com>","=?UTF-8?B?V2F0Y2ggTmV3IE1pY3Jvc29mdCBXb3JkIEY=?=
 =?UTF-8?B?cmVlZSBDb3Vyc2UsIEFLU0hBWUEgQiBTIPCfjqU=?=",2025,12
2025-10-29 08:25:23+00:00,"""Simplilearn"" <updates@simplilearnmailer.com>","Full Stack Developer Program with GenAI - ChatGPT, Copilot & Microsoft Certification",2025,10
2025-10-29 06:21:26+00:00,"""Simplilearn"" <updates@simplilearnmailer.com>","Full Stack Developer Program with GenAI - ChatGPT, Copilot & Microsoft Certification",2025,10
2025-11-18 06:28:41+00:00,Google One <googleone-noreply@google.com>,We've updated our Google One Terms of Service,2025,11
2026-01-05 04:22:07+00:00,Pocket Option <noreply@pocketoption.com>,=?utf-8?Q?Rating_of_TOP_traders_for_the_past_week?=,2026,1
2025-12-31 10:10:51+00:00,Team Unstop <noreply@dare2compete.news>,=?utf-8?q?Final_Call_Alert_-_Nation_Building_Case_Study_Competition?=,2025,12
2025-10-30 16:23:46+00:00,Codecademy <learn@itr.mail.codecademy.com>,50% off Pro ends today,2025,10
2025-11-04 13:05:05+00:00,"""SkillUP By Simplilearn"" <updates@simplilearnmailer.com>","Akshaya, From free course to six-figure analyst",2025,11
2026-01-07 15:05:57+00:00,Team Unstop <noreply@unstop.news>,=?utf-8?q?Fast-track_your_career_with_L=E2=80=99Or=C3=A9al_Brandstorm_2026?=,2026,1
2025-11-01 04:36:16+00:00,GitHub <noreply@github.com>,[GitHub] Please verify your device,2025,11
2025-10-22 16:25:58+00:00,Codecademy <learn@itr.mail.codecademy.com>,Sale ends today,2025,10
2025-10-29 15:40:49+00:00,=?UTF-8?B?TGlua2VkSW4=?= <linkedin@e.linkedin.com>,Be first to hear about new openings,2025,10
2025-11-13 18:58:32+00:00,Kaggle <no-reply@kaggle.com>,Competition Launch: Vesuvius Challenge - Surface Detection,2025,11
2025-10-22 06:09:20+00:00,"""Simplilearn"" <updates@simplilearnmailer.com>","Explore a Future-Ready Program in Data + GenAI | By IHFC, Tech Innovation Hub of IIT Delhi",2025,10
2025-10-21 14:12:21+00:00,"""Simplilearn"" <updates@simplilearnmailer.com>",Looking for another course?,2025,10
2025-10-22 08:57:19+00:00,Google Gemini <google-gemini-noreply@google.com>,"004 Akshaya, prep for exams with Gemini",2025,10
2026-01-18 13:09:41+00:00,Jia from Unstop <noreply@unstop.news>,=?utf-8?q?Akshaya=2C=C2=A0earn_INR_60=2C000_stipend!?=,2026,1
2025-11-18 06:14:32+00:00,"""Simplilearn"" <updates@simplilearnmailer.com>","Full Stack Developer Program with GenAI - ChatGPT, Copilot & Microsoft Certification",2025,11
2025-11-02 12:15:55+00:00,SKILL INTERN | INSPIRE AI <noreply@nrichlearning.com>,=?UTF-8?Q?=F0=9F=97=93_Class_Scheduled_Alert!_?=,2025,11
2025-11-02 12:00:58+00:00,SKILL INTERN | INSPIRE AI <noreply@nrichlearning.com>,=?UTF-8?Q?=F0=9F=97=93_Class_Scheduled_Alert!_?=,2025,11
